name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007.0,80000.0,45000.0,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006.0,425000.0,40.0,Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000.0,28000.0,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000.0,36000.0,Diesel
Ford Figo,Ford,2012.0,175000.0,41000.0,Diesel
Hyundai Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016.0,830000.0,24530.0,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015.0,250000.0,60000.0,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010.0,182000.0,60000.0,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015.0,315000.0,30000.0,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014.0,415000.0,32000.0,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015.0,320000.0,48660.0,Diesel
Audi A8,Audi,2017.0,1000000.0,4000.0,Petrol
Audi Q7,Audi,2014.0,500000.0,16934.0,Diesel
Mahindra Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
Maruti Suzuki Alto 800,Maruti,2014.0,160000.0,35550.0,Petrol
Mahindra Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015.0,75000.0,39000.0,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012.0,100000.0,55000.0,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017.0,190000.0,72000.0,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000.0,15975.0,Diesel
Maruti Suzuki Alto LX,Maruti,2008.0,95000.0,70000.0,Petrol
Mahindra Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014.0,385000.0,35522.0,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015.0,250000.0,48508.0,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017.0,180000.0,15487.0,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013.0,105000.0,39000.0,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013.0,105000.0,39000.0,Petrol
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000.0,82000.0,Diesel
Renault Lodgy 85 PS RXL,Renault,2018.0,689999.0,20000.0,Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000.0,68000.0,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017.0,549000.0,32000.0,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012.0,501000.0,38000.0,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013.0,489999.0,27000.0,Diesel
Honda City 1.5 S MT,Honda,2011.0,280000.0,33000.0,Petrol
Maruti Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015.0,345000.0,36000.0,Diesel
Honda City,Honda,2015.0,499999.0,55000.0,Petrol
Datsun Redi GO S,Datsun,2017.0,235000.0,16000.0,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010.0,249999.0,36000.0,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015.0,1475000.0,47000.0,Diesel
Mahindra Scorpio S10,Mahindra,2015.0,395000.0,35000.0,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017.0,220000.0,30874.0,Petrol
Honda City ZX CVT,Honda,2017.0,170000.0,15000.0,Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti,2013.0,85000.0,29685.0,Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017.0,200000.0,130000.0,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012.0,570000.0,19000.0,Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014.0,315000.0,60000.0,Petrol
Chevrolet Spark LS 1.0,Chevrolet,2010.0,110000.0,41000.0,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012.0,501000.0,35000.0,Diesel
Honda City,Honda,2015.0,448999.0,54000.0,Petrol
Mini Cooper S 1.6,Mini,2013.0,1891111.0,13000.0,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011.0,159500.0,38200.0,Diesel
Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
Renault Duster,Renault,2014.0,449999.0,50000.0,Diesel
Mini Cooper S 1.6,Mini,2013.0,1891111.0,13500.0,Petrol
Mahindra Scorpio S4,Mahindra,2015.0,865000.0,30000.0,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014.0,699000.0,50000.0,Diesel
Mahindra Quanto C8,Mahindra,2013.0,375000.0,20000.0,Diesel
Ford EcoSport,Ford,2017.0,489999.0,39000.0,Petrol
Honda Brio,Honda,2012.0,224999.0,30000.0,Petrol
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019.0,1200000.0,3600.0,Diesel
Hyundai i20 Magna,Hyundai,2009.0,195000.0,32000.0,Petrol
Toyota Corolla Altis Diesel D4DG,Toyota,2010.0,351000.0,38000.0,Diesel
Hyundai Verna Transform SX VTVT,Hyundai,2008.0,160000.0,45000.0,Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009.0,240000.0,35000.0,Petrol
Honda City 1.5 EXi New,Honda,2005.0,90000.0,50000.0,Petrol
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011.0,155000.0,45863.0,Diesel
BMW 3 Series 320i,BMW,2011.0,600000.0,60500.0,Petrol
Maruti Suzuki A Star Lxi,Maruti,2011.0,189500.0,12500.0,Petrol
Toyota Etios GD,Toyota,2013.0,350000.0,60000.0,Diesel
Ford Figo Diesel EXI Option,Ford,2012.0,210000.0,35000.0,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014.0,390000.0,35000.0,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012.0,135000.0,45000.0,Diesel
BMW 7 Series 740Li Sedan,BMW,2009.0,1600000.0,35000.0,Petrol
Mahindra XUV500 W8 AWD 2013,Mahindra,2013.0,701000.0,38000.0,Diesel
Hyundai i10 Magna 1.2,Hyundai,2014.0,265000.0,18000.0,Petrol
Hyundai Verna Fluidic New,Hyundai,2015.0,525000.0,35000.0,Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013.0,372000.0,13349.0,Petrol
